id,ville,prix,surface,quartier,type_bien,nb_chambres,nb_salle_de_bain,url_annonce
annonce_6386,Casablanca,2500000.0,252.0,Laymoune,Appartement,3,3,https://www.mubawab.ma/fr/a/8181251/appartement-%C3%A0-vendre-de-252-0-m%C2%B2-%C3%A0-casablanca-laymoune
annonce_6387,Casablanca,3350000.0,252.0,Racine,Appartement,3,3,https://www.mubawab.ma/fr/a/8180472/appartement-%C3%A0-vendre-de-252-0-m%C2%B2-%C3%A0-casablanca-racine
annonce_6388,Casablanca,1180000.0,110.0,Nassim 1,Appartement,3,4,https://www.mubawab.ma/fr/a/8180463/appartement-%C3%A0-vendre-de-110-0-m%C2%B2-%C3%A0-casablanca-nassim
annonce_6389,Casablanca,2000000.0,143.0,Les Hôpitaux,Appartement,3,2,https://www.mubawab.ma/fr/a/8182829/appartement-%C3%A0-vendre-de-143-0-m%C2%B2-%C3%A0-casablanca-hopitaux
annonce_6390,Casablanca,1010000.0,115.0,Aïn Sebaâ,Appartement,3,1,https://www.mubawab.ma/fr/a/8182082/appartement-%C3%A0-vendre-de-115-0-m%C2%B2-%C3%A0-casablanca-ain-sebaa
annonce_6391,Casablanca,3230000.0,190.0,Mers Sultan,Appartement,3,3,https://www.mubawab.ma/fr/a/8107218/appartement-%C3%A0-vendre-de-190-0-m%C2%B2-%C3%A0-casablanca-mers-sultan
annonce_6392,Casablanca,1650000.0,111.0,Bourgogne Est,Appartement,3,1,https://www.mubawab.ma/fr/a/8184195/appartement-%C3%A0-vendre-de-111-0-m%C2%B2-%C3%A0-casablanca-bourgogne-sidi-belyout
annonce_6393,Casablanca,1300000.0,66.0,Plateau (Al Batha),Appartement,1,1,https://www.mubawab.ma/fr/a/8182845/appartement-%C3%A0-vendre-de-66-0-m%C2%B2-%C3%A0-casablanca-plateau
annonce_6394,Casablanca,1900000.0,85.0,Casablanca Marina,Appartement,2,2,https://www.mubawab.ma/fr/a/8182092/appartement-%C3%A0-vendre-de-85-0-m%C2%B2-%C3%A0-casablanca-casablanca-marina
annonce_6395,Casablanca,10800000.0,633.0,Polo,Villa,4,8,https://www.mubawab.ma/fr/a/8182083/villa-%C3%A0-vendre-de-633-0-m%C2%B2-%C3%A0-casablanca-polo-maarif
annonce_6396,Casablanca,2950000.0,214.0,Racine,Appartement,3,3,https://www.mubawab.ma/fr/a/8185952/appartement-%C3%A0-vendre-de-214-0-m%C2%B2-%C3%A0-casablanca-racine
annonce_6397,Casablanca,2184000.0,119.0,Gauthier,Appartement,2,3,https://www.mubawab.ma/fr/a/8185951/appartement-%C3%A0-vendre-de-119-0-m%C2%B2-%C3%A0-casablanca-gauthier
annonce_6398,Casablanca,5600000.0,252.0,Californie,Villa,4,6,https://www.mubawab.ma/fr/a/8184178/villa-%C3%A0-vendre-de-252-0-m%C2%B2-%C3%A0-casablanca-californie
annonce_6399,Casablanca,1370000.0,89.0,Bernoussi,Appartement,4,2,https://www.mubawab.ma/fr/a/8184164/appartement-%C3%A0-vendre-de-89-0-m%C2%B2-%C3%A0-casablanca-sidi-bernoussi
annonce_6400,Casablanca,2600000.0,150.0,Californie,Appartement,3,2,https://www.mubawab.ma/fr/a/8185956/appartement-%C3%A0-vendre-de-150-0-m%C2%B2-%C3%A0-casablanca-californie
annonce_6401,Casablanca,1050000.0,121.0,Bournazil,Appartement,2,2,https://www.mubawab.ma/fr/a/8185954/appartement-%C3%A0-vendre-de-121-0-m%C2%B2-%C3%A0-casablanca-bournazil
annonce_6402,Casablanca,2750000.0,198.0,Les Hôpitaux,Appartement,3,3,https://www.mubawab.ma/fr/a/8185196/appartement-%C3%A0-vendre-de-198-0-m%C2%B2-%C3%A0-casablanca-hopitaux
annonce_6403,Casablanca,1140000.0,121.0,Belvédère,Appartement,2,2,https://www.mubawab.ma/fr/a/8189557/appartement-%C3%A0-vendre-de-121-0-m%C2%B2-%C3%A0-casablanca-belvedere-roches-noires
annonce_6404,Casablanca,1650000.0,129.0,Burger,Appartement,3,2,https://www.mubawab.ma/fr/a/8187395/appartement-%C3%A0-vendre-de-129-0-m%C2%B2-%C3%A0-casablanca-burger
annonce_6405,Casablanca,1450000.0,124.0,Oulfa,Appartement,3,2,https://www.mubawab.ma/fr/a/8186674/appartement-%C3%A0-vendre-de-124-0-m%C2%B2-%C3%A0-casablanca-oulfa
annonce_6406,Casablanca,3600000.0,173.0,Palmier,Appartement,3,2,https://www.mubawab.ma/fr/a/8190960/appartement-%C3%A0-vendre-de-173-0-m%C2%B2-%C3%A0-casablanca-palmier-maarif
annonce_6407,Casablanca,1200000.0,98.0,El Manar - El Hank,Appartement,2,1,https://www.mubawab.ma/fr/a/8190971/appartement-%C3%A0-vendre-de-98-0-m%C2%B2-%C3%A0-casablanca-el-hank
annonce_6408,Casablanca,3000000.0,175.0,Maârif Extension,Appartement,3,3,https://www.mubawab.ma/fr/a/8190962/appartement-%C3%A0-vendre-de-175-0-m%C2%B2-%C3%A0-casablanca-maarif-extension
annonce_6409,Casablanca,5900000.0,800.0,Bouskoura Ville,Villa,3,3,https://www.mubawab.ma/fr/a/7767585/villa-%C3%A0-vendre-de-800-0-m%C2%B2-%C3%A0-bouskoura-bouskoura
annonce_6411,Casablanca,3100000.0,119.0,Bernoussi,Villa,4,4,https://www.mubawab.ma/fr/a/8192186/villa-%C3%A0-vendre-de-119-0-m%C2%B2-%C3%A0-casablanca-sidi-bernoussi
annonce_6412,Casablanca,4150000.0,211.0,Gauthier,Appartement,3,4,https://www.mubawab.ma/fr/a/7743468/appartement-%C3%A0-vendre-de-211-0-m%C2%B2-%C3%A0-casablanca-gauthier
annonce_6413,Casablanca,5500000.0,397.0,Sidi Maarouf,Villa,4,3,https://www.mubawab.ma/fr/a/7705321/villa-%C3%A0-vendre-de-397-0-m%C2%B2-%C3%A0-casablanca-sidi-maarouf
annonce_6414,Casablanca,2350000.0,199.0,La Gironde,Appartement,4,2,https://www.mubawab.ma/fr/a/8193284/appartement-%C3%A0-vendre-de-199-0-m%C2%B2-%C3%A0-casablanca-la-gironde
annonce_6415,Casablanca,3100000.0,160.0,Racine,Appartement,3,3,https://www.mubawab.ma/fr/a/8192825/appartement-%C3%A0-vendre-de-160-0-m%C2%B2-%C3%A0-casablanca-racine
annonce_6416,Casablanca,3530000.0,324.0,Aïn Sebaâ,Villa,5,3,https://www.mubawab.ma/fr/a/8192194/villa-%C3%A0-vendre-de-324-0-m%C2%B2-%C3%A0-casablanca-ain-sebaa
annonce_6417,Casablanca,1600000.0,131.0,Roches Noires,Appartement,3,3,https://www.mubawab.ma/fr/a/8198136/appartement-%C3%A0-vendre-de-131-0-m%C2%B2-%C3%A0-casablanca-ibn-tachfine
annonce_6418,Casablanca,2000000.0,146.0,Beauséjour,Appartement,3,1,https://www.mubawab.ma/fr/a/8196769/appartement-%C3%A0-vendre-de-146-0-m%C2%B2-%C3%A0-casablanca-beausejour
annonce_6419,Casablanca,3000000.0,192.0,Racine,Appartement,3,2,https://www.mubawab.ma/fr/a/8195720/appartement-%C3%A0-vendre-de-192-0-m%C2%B2-%C3%A0-casablanca-racine
annonce_6420,Casablanca,3000000.0,112.0,Lekrimat,Appartement,2,3,https://www.mubawab.ma/fr/a/8195718/appartement-%C3%A0-vendre-de-112-0-m%C2%B2-%C3%A0-casablanca-lekrimat
annonce_6421,Casablanca,6500000.0,293.0,Laymoune,Villa,4,5,https://www.mubawab.ma/fr/a/8200249/villa-%C3%A0-vendre-de-293-0-m%C2%B2-%C3%A0-casablanca-laymoune
annonce_6422,Casablanca,3200000.0,266.0,Gauthier,Appartement,3,3,https://www.mubawab.ma/fr/a/8199285/appartement-%C3%A0-vendre-de-266-0-m%C2%B2-%C3%A0-casablanca-gauthier
annonce_6423,Casablanca,1600000.0,128.0,Les princesses,Appartement,3,3,https://www.mubawab.ma/fr/a/8198746/appartement-%C3%A0-vendre-de-128-0-m%C2%B2-%C3%A0-casablanca-les-princesses
annonce_6424,Casablanca,1860000.0,144.0,Californie,Appartement,3,2,https://www.mubawab.ma/fr/a/8198138/appartement-%C3%A0-vendre-de-144-0-m%C2%B2-%C3%A0-casablanca-californie
annonce_6425,Casablanca,6950000.0,370.0,Ain Diab,Appartement,3,4,https://www.mubawab.ma/fr/a/8201121/appartement-%C3%A0-vendre-de-370-0-m%C2%B2-%C3%A0-casablanca-ain-diab
annonce_6426,Casablanca,3800000.0,188.0,Ain Diab,Appartement,3,3,https://www.mubawab.ma/fr/a/8159137/appartement-%C3%A0-vendre-de-188-0-m%C2%B2-%C3%A0-casablanca-ain-diab-extension-2
annonce_6427,Casablanca,2200000.0,128.0,Les princesses,Appartement,3,2,https://www.mubawab.ma/fr/a/8097029/appartement-%C3%A0-vendre-de-128-0-m%C2%B2-%C3%A0-casablanca-les-princesses
annonce_6428,Marrakech,2550000.0,298.0,Route de Safi,Villa,5,3,https://www.mubawab.ma/fr/a/8205097/villa-%C3%A0-vendre-de-298-0-m%C2%B2-%C3%A0-marrakech-boulvard-moulay-abdellah-route-de-safi
annonce_6429,Casablanca,1900000.0,98.0,Oasis,Appartement,3,3,https://www.mubawab.ma/fr/a/8205085/appartement-%C3%A0-vendre-de-98-0-m%C2%B2-%C3%A0-casablanca-oasis
annonce_6430,Casablanca,1600000.0,104.0,Belvédère,Appartement,2,2,https://www.mubawab.ma/fr/a/8174291/appartement-%C3%A0-vendre-de-104-0-m%C2%B2-%C3%A0-casablanca-belvedere-roches-noires
annonce_6431,Marrakech,3600000.0,1015.0,Arset Moulay Moussa,Villa,5,6,https://www.mubawab.ma/fr/a/8201118/villa-%C3%A0-vendre-de-1015-0-m%C2%B2-%C3%A0-marrakech-route-d%E2%80%99ourika-douar-moussa
annonce_6432,Rabat,4200000.0,158.0,L'Ocean,Appartement,6,8,https://www.mubawab.ma/fr/a/8189565/appartement-%C3%A0-vendre-de-158-0-m%C2%B2-%C3%A0-rabat-l-ocean
annonce_6433,Marrakech,8300000.0,810.0,Hay Targa,Villa,6,8,https://www.mubawab.ma/fr/a/8186684/villa-%C3%A0-vendre-de-810-0-m%C2%B2-%C3%A0-marrakech-targa
annonce_6434,Rabat,5400000.0,214.0,Riyad,Appartement,4,3,https://www.mubawab.ma/fr/a/8186693/appartement-%C3%A0-vendre-de-214-0-m%C2%B2-%C3%A0-rabat-riyad
annonce_6435,Marrakech,5000000.0,191.0,Hivernage,Appartement,2,5,https://www.mubawab.ma/fr/a/8184215/appartement-%C3%A0-vendre-de-191-0-m%C2%B2-%C3%A0-marrakech-hivernage
annonce_6436,Rabat,1500000.0,112.0,Hassan - Centre Ville,Appartement,3,2,https://www.mubawab.ma/fr/a/8110570/appartement-%C3%A0-vendre-de-112-0-m%C2%B2-%C3%A0-rabat-quartier-administratif-agdal
annonce_6437,Marrakech,2950000.0,44839.0,Route de l'Ourika,Villa,3,2,https://www.mubawab.ma/fr/a/8184209/villa-%C3%A0-vendre-de-44839-0-m%C2%B2-%C3%A0-marrakech-douar-bouazza
annonce_6438,Marrakech,1400000.0,76.0,Guéliz,Appartement,2,2,https://www.mubawab.ma/fr/a/8176892/appartement-%C3%A0-vendre-de-76-0-m%C2%B2-%C3%A0-marrakech-gueliz
annonce_6439,Marrakech,5300000.0,584.0,Route de Tahanaout,Villa,5,6,https://www.mubawab.ma/fr/a/8147723/villa-%C3%A0-vendre-de-584-0-m%C2%B2-%C3%A0-marrakech-route-de-tahanaout-oulad-yahya
annonce_6440,Marrakech,4500000.0,516.0,Hay Targa,Villa,5,8,https://www.mubawab.ma/fr/a/8172217/villa-%C3%A0-vendre-de-516-0-m%C2%B2-%C3%A0-marrakech-targa
annonce_6441,Marrakech,8200000.0,2869.0,Route de Ouarzazate,Villa,4,3,https://www.mubawab.ma/fr/a/8171438/villa-%C3%A0-vendre-de-2869-0-m%C2%B2-%C3%A0-marrakech-chwiter
annonce_6442,Marrakech,1240000.0,124.0,Majorelle,Appartement,2,3,https://www.mubawab.ma/fr/a/8171430/appartement-%C3%A0-vendre-de-124-0-m%C2%B2-%C3%A0-marrakech-rouidate-majorelle
annonce_6444,Marrakech,3200000.0,520.0,Route de l'Ourika,Villa,5,5,https://www.mubawab.ma/fr/a/8170634/villa-%C3%A0-vendre-de-520-0-m%C2%B2-%C3%A0-marrakech-route-de-l-ourika-aqua-fun
annonce_6445,Marrakech,1100000.0,103.0,Amerchich,Appartement,3,2,https://www.mubawab.ma/fr/a/8169082/appartement-%C3%A0-vendre-de-103-0-m%C2%B2-%C3%A0-marrakech-amerchich
annonce_6446,Marrakech,4200000.0,1281.0,Route de Fez,Villa,6,11,https://www.mubawab.ma/fr/a/8168468/villa-%C3%A0-vendre-de-1281-0-m%C2%B2-%C3%A0-marrakech-route-de-fes
annonce_6447,Marrakech,5200000.0,1000.0,Boukar,Villa,4,5,https://www.mubawab.ma/fr/a/8167749/villa-%C3%A0-vendre-de-1000-0-m%C2%B2-%C3%A0-marrakech-ain-iti
annonce_6448,Rabat,9500000.0,1000.0,Hay El Menzah,Villa,7,6,https://www.mubawab.ma/fr/a/8128935/villa-%C3%A0-vendre-de-1000-0-m%C2%B2-%C3%A0-rabat-hay-el-menzah
annonce_6449,Marrakech,1490000.0,52.0,Guéliz,Appartement,1,2,https://www.mubawab.ma/fr/a/8096346/appartement-%C3%A0-vendre-de-52-0-m%C2%B2-%C3%A0-marrakech-gueliz
annonce_6450,Marrakech,1600000.0,75.0,Azzouzia,Villa,3,4,https://www.mubawab.ma/fr/a/8146273/villa-%C3%A0-vendre-de-75-0-m%C2%B2-%C3%A0-marrakech-azzouzia
annonce_6451,Marrakech,4800000.0,240.0,Hay Al Massar,Villa,4,6,https://www.mubawab.ma/fr/a/8114522/villa-%C3%A0-vendre-de-240-0-m%C2%B2-%C3%A0-marrakech-hay-al-massar
annonce_6452,Marrakech,3800000.0,1405.0,Route de l'Ourika,Villa,5,5,https://www.mubawab.ma/fr/a/8064235/villa-%C3%A0-vendre-de-1405-0-m%C2%B2-%C3%A0-marrakech-route-de-l-ourika-douar-bouazza
annonce_6453,Marrakech,7700000.0,483.0,Hay Inara,Villa,7,12,https://www.mubawab.ma/fr/a/8147714/villa-%C3%A0-vendre-de-483-0-m%C2%B2-%C3%A0-marrakech-lotissement-les-palmiers
annonce_6454,Marrakech,5500000.0,926.0,Hay Targa,Villa,5,6,https://www.mubawab.ma/fr/a/8144569/villa-%C3%A0-vendre-de-926-0-m%C2%B2-%C3%A0-marrakech-zohor-targa-zephyr
annonce_6455,Marrakech,6800000.0,662.0,Assif,Villa,6,12,https://www.mubawab.ma/fr/a/8142503/villa-%C3%A0-vendre-de-662-0-m%C2%B2-%C3%A0-marrakech-assif
annonce_6456,Marrakech,1350000.0,130.0,Issil,Appartement,2,3,https://www.mubawab.ma/fr/a/8137990/appartement-%C3%A0-vendre-de-130-0-m%C2%B2-%C3%A0-marrakech-koudiat-laabid
annonce_6457,Marrakech,1100000.0,119.0,Issil,Appartement,2,4,https://www.mubawab.ma/fr/a/8137319/appartement-%C3%A0-vendre-de-119-0-m%C2%B2-%C3%A0-marrakech-issil
annonce_6458,Marrakech,1600000.0,107.0,Issil,Appartement,2,4,https://www.mubawab.ma/fr/a/8137317/appartement-%C3%A0-vendre-de-107-0-m%C2%B2-%C3%A0-marrakech-issil
annonce_6459,Marrakech,1380000.0,84.0,Guéliz,Appartement,1,2,https://www.mubawab.ma/fr/a/8135044/appartement-%C3%A0-vendre-de-84-0-m%C2%B2-%C3%A0-marrakech-gueliz
annonce_6460,Marrakech,4500000.0,396.0,Jawhar,Villa,4,6,https://www.mubawab.ma/fr/a/8133344/villa-%C3%A0-vendre-de-396-0-m%C2%B2-%C3%A0-marrakech-jawhar
annonce_6461,Marrakech,3600000.0,425.0,Marrakech,Villa,6,9,https://www.mubawab.ma/fr/a/8132627/villa-%C3%A0-vendre-de-425-0-m%C2%B2-%C3%A0-marrakech-palmeraie-extension
annonce_6462,Marrakech,4000000.0,150.0,Mhamid,Villa,9,8,https://www.mubawab.ma/fr/a/8128929/villa-%C3%A0-vendre-de-150-0-m%C2%B2-%C3%A0-marrakech-m-hamid
annonce_6463,Marrakech,3000000.0,280.0,Route de Safi,Villa,4,7,https://www.mubawab.ma/fr/a/8132629/villa-%C3%A0-vendre-de-280-0-m%C2%B2-%C3%A0-marrakech-route-de-safi
annonce_6464,Marrakech,5700000.0,251.0,Amerchich,Villa,5,5,https://www.mubawab.ma/fr/a/8128918/villa-%C3%A0-vendre-de-251-0-m%C2%B2-%C3%A0-marrakech-amerchich
annonce_6465,Marrakech,2500000.0,239.0,Daoudiat,Villa,4,4,https://www.mubawab.ma/fr/a/8128912/villa-%C3%A0-vendre-de-239-0-m%C2%B2-%C3%A0-marrakech-daoudiat
annonce_6466,Marrakech,2800000.0,249.0,Samlalia,Appartement,4,1,https://www.mubawab.ma/fr/a/8116894/appartement-%C3%A0-vendre-de-249-0-m%C2%B2-%C3%A0-marrakech-semlalia
annonce_6467,Marrakech,3700000.0,485.0,Route de Tahanaout,Villa,4,6,https://www.mubawab.ma/fr/a/8112735/villa-%C3%A0-vendre-de-485-0-m%C2%B2-%C3%A0-marrakech-route-de-tahanaout-cherifia
annonce_6468,Marrakech,2470000.0,77.0,Agdal,Appartement,2,3,https://www.mubawab.ma/fr/a/8100965/appartement-%C3%A0-vendre-de-77-0-m%C2%B2-%C3%A0-marrakech-prestigia
annonce_6469,Marrakech,7590000.0,1200.0,Route Amizmiz,Villa,4,3,https://www.mubawab.ma/fr/a/8082297/villa-%C3%A0-vendre-de-1200-0-m%C2%B2-%C3%A0-marrakech-cherifia
annonce_6470,Marrakech,1450000.0,132.0,Hay Zitoun,Appartement,3,2,https://www.mubawab.ma/fr/a/8111540/appartement-%C3%A0-vendre-de-132-0-m%C2%B2-%C3%A0-marrakech-bin-lkchali
