id,ville,prix,surface,quartier,type_bien,nb_chambres,nb_salle_de_bain,url_annonce
1197,Rabat,50000.0,2000.0,Souissi,Villa,4,4,https://www.mubawab.ma/fr/a/8265562/spacieuse-villa-2000m%C2%B2-a-louer-%C3%A0-souissi-rabat
1198,Rabat,15000.0,120.0,Agdal,Appartement,2,2,https://www.mubawab.ma/fr/a/8248532/joli-appartement-meuble-entierement-renove
1199,Casablanca,4500.0,75.0,Sidi Maarouf,Appartement,2,2,https://www.mubawab.ma/fr/a/8255079/a-louer-appart-2-chambres-avec-terrasse-et-parking
1202,Rabat,25000.0,120.0,Souissi,Appartement,2,2,https://www.mubawab.ma/fr/a/8287873/appartement-de-luxe-meubl%C3%A9-%C3%A0-louer-%C3%A0-souissi
1203,Rabat,7800.0,68.0,Agdal,Appartement,1,2,https://www.mubawab.ma/fr/a/8286979/appartement-avec-terrasse-%C3%A0-louer-meubl%C3%A9-agdal
1204,Rabat,18000.0,220.0,Agdal,Appartement,3,2,https://www.mubawab.ma/fr/a/7978395/appartement-avec-terrasse-%C3%A0-louer-agdal
1205,Rabat,14000.0,100.0,Riyad,Appartement,2,2,https://www.mubawab.ma/fr/a/8290826/appartement-%C3%A0-louer-meubl%C3%A9-hay-riad-prestigia
1206,Rabat,20000.0,160.0,Agdal,Appartement,3,2,https://www.mubawab.ma/fr/a/8289425/appartement-%C3%A0-louer-hay-riad
1208,Rabat,16000.0,165.0,Rabat,Appartement,3,2,https://www.mubawab.ma/fr/a/8286079/tr%C3%A3s-bel-appartement-moderne-%C3%A3%C2%A0-louer
1209,Rabat,22000.0,148148.0,Rabat,Appartement,2,2,https://www.mubawab.ma/fr/a/8200102/bel-appartement-neuf-lumineux-et-sans-vis-%C3%A0-vis-avec-grande-terrasse-panoramique
1210,Rabat,12000.0,115.0,Rabat,Appartement,3,2,https://www.mubawab.ma/fr/a/8286078/appartement-tr%C3%A3s-bien-ensoleill%C3%A3-%C3%A3%C2%A0-bassatine-el-manzeh
1211,Rabat,8500.0,150.0,Agdal,Appartement,3,1,https://www.mubawab.ma/fr/a/8187142/appartement-en-location-situ%C3%A3-bas-agdal-avec-terrasse
1212,Rabat,25000.0,120.0,Souissi,Appartement,2,2,https://www.mubawab.ma/fr/a/8286066/appartement-de-luxe-meubl%C3%A3-%C3%A3%C2%A0-louer
1213,Casablanca,35000.0,520.0,Californie,Villa,4,3,https://www.mubawab.ma/fr/a/8089593/somptueuse-villa-%C3%A0-californie
1214,Casablanca,9000.0,70.0,Anfa,Appartement,1,1,https://www.mubawab.ma/fr/a/8097227/bel-appartement-avec-terrasse
1216,Casablanca,7000.0,95.0,Val Fleury,Appartement,3,2,https://www.mubawab.ma/fr/a/8274919/bel-appartement-%C3%A0-val-fleury
1217,Casablanca,9500.0,63.0,Les princesses,Appartement,1,1,https://www.mubawab.ma/fr/a/8274271/appartement-%C3%A0-louer-de-63-0-m%C2%B2-%C3%A0-casablanca-les-princesses
1218,Casablanca,14000.0,89.0,Casablanca Finance City,Appartement,2,2,https://www.mubawab.ma/fr/a/8220597/appartement-%C3%A0-louer-de-89-0-m%C2%B2-%C3%A0-casablanca-casablanca-finance-city
1219,Casablanca,9000.0,145.0,Les princesses,Appartement,3,5,https://www.mubawab.ma/fr/a/8287117/appartement-%C3%A0-louer-de-145-0-m%C2%B2-%C3%A0-casablanca-les-princesses
1220,Marrakech,13500.0,131.0,Guéliz,Appartement,2,3,https://www.mubawab.ma/fr/a/8266650/appartement-%C3%A0-louer-de-131-0-m%C2%B2-%C3%A0-marrakech-gueliz
1221,Casablanca,13500.0,133.0,Gauthier,Appartement,2,2,https://www.mubawab.ma/fr/a/8277543/superbe-appartement-meubl%C3%A9-a-gauthier
1222,Casablanca,9000.0,100.0,Triangle d'Or,Appartement,2,2,https://www.mubawab.ma/fr/a/8259775/superbe-appartement-%C3%A0-louer-%C3%A0-triangle-d-or-2-chambres-meubl%C3%A9
1223,Marrakech,24500.0,200.0,Route de Ouarzazate,Villa,3,3,https://www.mubawab.ma/fr/a/8282888/charmant-villa-semi-meubl%C3%A9-de-trois-chambres
1224,Casablanca,10500.0,120.0,Gauthier,Appartement,3,3,https://www.mubawab.ma/fr/a/8286355/location-appartement-gauthier
1225,Casablanca,7800.0,65.0,Gauthier,Appartement,1,1,https://www.mubawab.ma/fr/a/8286118/location-studio-meubl%C3%A9-gautier
1226,Casablanca,9000.0,70.0,Oasis,Appartement,1,1,https://www.mubawab.ma/fr/a/8286224/location-studio-oasis
1227,Casablanca,32000.0,245.0,Gauthier,Appartement,3,3,https://www.mubawab.ma/fr/a/8278147/appartement-en-location-gautier
1228,Marrakech,11000.0,130.0,Ennakhil (Palmeraie),Appartement,2,1,https://www.mubawab.ma/fr/a/8069720/appartement-2-chambres-palmeraie
1229,Rabat,16000.0,220.0,Haut Agdal,Appartement,3,4,https://www.mubawab.ma/fr/a/8271303/superbe-appartement-%C3%A0-louer-%C3%A0-haut-agdal-surface-totale-220-m%C2%B2-porte-blind%C3%A9e-et-syst%C3%A8me-de-double-vitrage
1230,Rabat,10500.0,88.0,Agdal,Appartement,2,2,https://www.mubawab.ma/fr/a/8287905/appartement-neuf-au-bas-agdal
1231,Casablanca,21000.0,180.0,Casablanca Finance City,Appartement,3,3,https://www.mubawab.ma/fr/a/8288148/appartement-de-prestige-avec-double-terrasse-et-vue-parc
1232,Marrakech,12000.0,76.0,Boulevard Med 6,Appartement,2,2,https://www.mubawab.ma/fr/a/8268213/appartement-%C3%A0-louer-%C3%A0-prestigia-opale-lom25317
1250,Casablanca,9500.0,60.0,Casablanca Finance City,Appartement,1,1,https://www.mubawab.ma/fr/a/8245303/sublime-studio-a-cfc
1251,Casablanca,16000.0,127.0,Casablanca Finance City,Appartement,2,2,https://www.mubawab.ma/fr/a/8281456/2-chambres-meubl%C3%A9-%C3%A0-louer-%E2%80%93-cfc-%C3%A9tage-%C3%A9lev%C3%A9
1252,Marrakech,25000.0,300.0,Route de l'Ourika,Villa,3,3,https://www.mubawab.ma/fr/a/8278940/superbe-villa-%C3%A0-louer-%C3%A0-route-de-l-ourika-4-pi%C3%A8ces-confortables-meubl%C3%A9
1253,Casablanca,7500.0,124.0,Les Hôpitaux,Appartement,2,2,https://www.mubawab.ma/fr/a/8285249/appartement-%C3%A0-louer-bd-2-mars-124m
1254,Casablanca,7900.0,59.0,Gauthier,Appartement,1,1,https://www.mubawab.ma/fr/a/8289188/studio-%C3%A0-louer-meubl%C3%A9-gauthier-59m
1256,Casablanca,6500.0,104.0,Racine,Appartement,2,1,https://www.mubawab.ma/fr/a/8283950/appartement-vide-de-104m%C2%B2-au-quartier-m%C3%A2arif
1257,Casablanca,25000.0,180.0,Ain Diab,Appartement,2,3,https://www.mubawab.ma/fr/a/8244684/appartement-meubl%C3%A9-%C3%A0-louer-ain-diab
1259,Casablanca,23000.0,277.0,Casablanca Finance City,Appartement,3,3,https://www.mubawab.ma/fr/a/8271294/appartement-de-3-chambres-%C3%A0-louer-%C3%A0-casa-finance-city
1260,Casablanca,9500.0,53.0,Casablanca Finance City,Appartement,1,2,https://www.mubawab.ma/fr/a/8210132/studio-%C3%A0-louer-%C3%A0-cfc
1261,Marrakech,1250.0,78.0,Hivernage,Appartement,1,1,https://www.mubawab.ma/fr/a/8130205/studio-avec-magnifique-terrasse-sur-l-hivernage
1262,Rabat,40000.0,450.0,Souissi,Villa,4,3,https://www.mubawab.ma/fr/a/6371442/tr%C3%A8s-belle-villa-%C3%A0-louer-%C3%A0-rabat-souissi
1263,Marrakech,15000.0,800.0,Mhamid,Villa,3,2,https://www.mubawab.ma/fr/a/8221749/villa-isol%C3%A9e-avec-grand-jardin-et-piscine-priv%C3%A9e
1264,Marrakech,7500.0,95.0,Guéliz,Appartement,2,2,https://www.mubawab.ma/fr/a/8289050/appartement-meubl%C3%A9-de-deux-chambres-rsd-piscine
1266,Marrakech,8000.0,165.0,Route Casablanca,Villa,2,1,https://www.mubawab.ma/fr/a/8289068/niveau-villa-%C3%A0-louer-165-m%C2%B2-vide-el-badii
1268,Marrakech,4000.0,86.0,Izdihar,Appartement,2,2,https://www.mubawab.ma/fr/a/8291193/appart-%C3%A0-louer-86-m%C2%B2-al-izdihar-marrakech
1272,Casablanca,6000.0,55.0,Riviera,Appartement,1,1,https://www.mubawab.ma/fr/a/8258242/appartement-%C3%A0-louer-%C3%A0-ma%C3%A2rif-2-pi%C3%A8ces
1273,Marrakech,9500.0,99.0,Guéliz,Appartement,3,2,https://www.mubawab.ma/fr/a/8052769/appartement-hyper-centre-gueliz-99m2-3-chambres
1274,Marrakech,4500.0,54.0,Hay Mabrouka,Appartement,2,1,https://www.mubawab.ma/fr/a/8292492/appartement-en-location-%C3%A0-hay-mabrouka-2-belles-chambres-meubl%C3%A9
1276,Casablanca,12000.0,148.0,Racine,Appartement,3,2,https://www.mubawab.ma/fr/a/8289961/racine-caf%C3%A9-chez-paul-anfa-apt-meubl%C3%A9-148m2-3ch-2sd-2-terrasses-vue-d%C3%A9gag%C3%A9e
1277,Casablanca,10000.0,98.0,Palmier,Appartement,2,2,https://www.mubawab.ma/fr/a/8275664/palmier-%C3%A9cole-moli%C3%A8re-meubl%C3%A9-neuf-100m2-2ch-terrase-vue-d%C3%A9gag%C3%A9e-parking
1280,Casablanca,180000.0,900.0,Anfa Supérieur,Villa,13,6,https://www.mubawab.ma/fr/a/8206594/villa-premium-%C3%A0-louer-usage-professionnel
1281,Casablanca,11500.0,68.0,Casablanca Finance City,Appartement,1,2,https://www.mubawab.ma/fr/a/8250694/studio-neuf-tr%C3%A8s-haut-standing-%C3%A0-louer-cfc
1282,Marrakech,15000.0,11200.0,Route de l'Ourika,Ferme,2,1,https://www.mubawab.ma/fr/a/8234348/ferme-avec-maison-sur-la-route-de-l%E2%80%99ourika
1286,Casablanca,14000.0,165.0,Palmier,Appartement,3,3,https://www.mubawab.ma/fr/a/7955784/appartement-d-exception-7eme-etage-palmier
1287,Rabat,5500.0,38.0,Agdal,Appartement,1,1,https://www.mubawab.ma/fr/a/8209629/agdal-studio-meubl%C3%A9-de-haut-standing
1288,Casablanca,4500.0,70.0,Oulfa,Appartement,2,1,https://www.mubawab.ma/fr/a/8270146/%C3%A0-khouzama-oulfa-apprt-meubl%C3%A9-%C3%A0-louer
