id,ville,prix,surface,quartier,type_bien,nb_chambres,nb_salle_de_bains,url_annonce,date_annonce
57430658,Casablanca,13500 DH,100 m2,Quartier des Hôpitaux,Commerce,0,0,https://www.avito.ma/fr/quartier_des_h%C3%B4pitaux/local/magasin_am%C3%A9nag%C3%A9_%C3%A0_des_h%C3%B4pitaux_100m2_57430658.htm,il y a 1 semaine
57430673,Casablanca,3800 DH,120 m2,Aïn Borja,null,3,0,https://www.avito.ma/fr/a%C3%AFn_borja/appartements/%D8%B4%D9%82%D8%A9_%D9%84%D9%84%D9%83%D8%B1%D8%A7%D8%A1_%D9%84%D8%A7%D9%81%D9%8A%D9%84%D8%A7%D8%AA__57430673.htm,il y a 1 semaine
57430641,Rabat,14000 DH,91 m2,Hay Riad,Appartement,3,0,https://www.avito.ma/fr/hay_riad/appartements/Appartement_meubl%C3%A9_%C3%A0_louer_Prestigia_Rabat_57430641.htm,il y a 1 semaine
57082298,Casablanca,8000 DH,64 m2,Les Princesses,Appartement,2,0,https://www.avito.ma/fr/les_princesses/appartements/Studio_meubl%C3%A9_%C3%A0_louer_64_m%C2%B2_au_princesse_57082298.htm,il y a 1 semaine
57430618,Casablanca,6700 DH,100 m2,Centre Ville,Bureau,0,0,https://www.avito.ma/fr/centre_ville/bureaux/Bureau_neuf_%C3%A0_Centre_ville_100m2_57430618.htm,il y a 1 semaine
57430519,Rabat,25000 DH,120 m2,Souissi,Appartement,3,0,https://www.avito.ma/fr/souissi/appartements/Appartement_meubl%C3%A9_%C3%A0_louer_Orangerie_Souissi_Rabat_57430519.htm,il y a 1 semaine
57430516,Tanger,22000 DH,150 m2,El Majd,Commerce,0,0,https://www.avito.ma/fr/el_majd/local/Local_commercial_120_m2_%C3%A0_louer_Rue_El_Qods_57430516.htm,il y a 1 semaine
57430467,Casablanca,12000 DH,143 m2,Maârif Extension,null,3,0,https://www.avito.ma/fr/ma%C3%A2rif_extension/appartements/164920_Appt_%C3%A0_louer_%C3%A0_12000DH_%C3%A0_Maarif_Extension_57430467.htm,il y a 1 semaine
57430463,Casablanca,6000 DH,47 m2,Quartier des Hôpitaux,Appartement,2,0,https://www.avito.ma/fr/quartier_des_h%C3%B4pitaux/appartements/Studio_%C3%A0_louer_quartier_des_h%C3%B4pitaux_57430463.htm,il y a 1 semaine
57430343,Rabat,21000 DH,235 m2,Agdal,Bureau,0,0,https://www.avito.ma/fr/agdal/bureaux/plateau_bureau_%C3%A0_louer_agdal_rabat_57430343.htm,il y a 1 semaine
