id,ville,prix,surface,quartier,type_bien,nb_chambres,nb_salle_de_bains,url_annonce,date_annonce
57468572,Rabat,2779 DH,65 m2,Hassan,Maison,4,0,https://www.avito.ma/fr/hassan/maisons/Cl%C3%A9_d_une_maison_%C3%A0_vendre_%C3%A0_Hassan_57468572.htm,il y a 15 heures
57452978,Marrakech,4001 DH,72 m2,Route de Tamansourt,Maison,7,0,https://www.avito.ma/fr/route_de_tamansourt/maisons/Maison_72_m%C2%B2_%C3%A0_vendre_Tamansourte_Marrakech_57452978.htm,il y a 18 heures
57468215,Casablanca,4613 DH,56 m2,Sbata,Maison,4,0,https://www.avito.ma/fr/sbata/maisons/Maison_%C3%A0_vendre_%C3%A0_Sbata__Casablanca_57468215.htm,il y a 19 heures
57468021,Casablanca,7503 DH,60 m2,Sidi Othmane,Maison,4,0,https://www.avito.ma/fr/sidi_othmane/maisons/Maison_ind%C3%A9pendante_%C3%A0_vendre_57468021.htm,il y a 20 heures
57088432,Tanger,24456 DH,154 m2,Ahlane,Maison,10,0,https://www.avito.ma/fr/ahlane/maisons/Maison_titr%C3%A9e_%C3%A0_vendre_Ahla_57088432.htm,il y a 21 heures
57454396,Tanger,8893 DH,null,Centre,Maison,4,0,https://www.avito.ma/fr/centre/maisons/Maison_titr%C3%A9e_%C3%A0_vendre_%C3%A0_A%C3%AFn_Ktiout_57454396.htm,il y a 21 heures
56491883,Casablanca,16674 DH,94 m2,Hay Mohammadi,Appartement,8,0,https://www.avito.ma/fr/hay_mohammadi/maisons/Maison_94m%C2%B2_3_fa%C3%A7ades_RDC_Commercial_3_%C3%A9tages_2_studios_56491883.htm,il y a 21 heures
56072569,Marrakech,8893 DH,70 m2,Ancienne Médina,Maison,6,0,https://www.avito.ma/fr/ancienne_m%C3%A9dina/maisons/Vente_Maison_de_70_m2_%C3%A0_Marrakech_56072569.htm,il y a 22 heures
57346043,Casablanca,16674 DH,287 m2,Hay Laymouna,Maison,7,0,https://www.avito.ma/fr/hay_laymouna/maisons/Maison_double_fa%C3%A7ade_287_m%C2%B2_habitable_4_niveaux_57346043.htm,il y a 22 heures
57029300,Tanger,25846 DH,113 m2,Ahlane,Maison,12,0,https://www.avito.ma/fr/ahlane/maisons/Maison_enregistr%C3%A9e_avec_deux_fa%C3%A7ades_%C3%A0_vendre_%C3%A0_Ahla_57029300.htm,il y a 2 heures
57374711,Marrakech,19454 DH,260 m2,Route de Tahanaoute,Villa,4,0,https://www.avito.ma/fr/route_de_tahanaoute/maisons/Villa_%C3%A0_5_minutes_de_Morocco_Mall_marrakech_57374711.htm,il y a 7 heures
57424684,Casablanca,17786 DH,98 m2,Oulfa,Maison,4,0,https://www.avito.ma/fr/oulfa/maisons/Vente_Maison_8_pi%C3%A8ces_de_98_m2_%C3%A0_Casablanca_57424684.htm,il y a 22 heures
57463035,Marrakech,5280 DH,235 m2,Sidi Youssef Ben Ali,Villa,5,0,https://www.avito.ma/fr/sidi_youssef_ben_ali/maisons/Villa_avec_piscine_%C3%A0_vendre_sur_route_A%C3%AFt_Ourir_57463035.htm,il y a 22 heures
57426068,Casablanca,15563 DH,130 m2,Sidi Maarouf,Maison,10,0,https://www.avito.ma/fr/sidi_maarouf/maisons/Maison_130_m2_%C3%A0_Sidi_Maarouf_57426068.htm,il y a 23 heures
56848345,Tanger,17786 DH,101 m2,Tanja Balia,Maison,7,0,https://www.avito.ma/fr/tanja_balia/maisons/Superbe_maison_%C3%80_vendre_%C3%A0_Tanja_Balia_56848345.htm,il y a 23 heures
57175438,Tanger,5391 DH,55 m2,Mesnana,Maison,2,0,https://www.avito.ma/fr/mesnana/maisons/Maison_%C3%A0_vendre_Hay_Al_Warda_Mssanana_sans_interm%C3%A9diaire_57175438.htm,il y a 1 jour
57413908,Rabat,10004 DH,74 m2,Autre secteur,Maison,3,0,https://www.avito.ma/fr/autre_secteur/maisons/Maison_%C3%A0_vendre___Kasbah_des_Oudayas__Rabat_57413908.htm,il y a 1 jour
57466188,Casablanca,6114 DH,null,Hay Moulay Rachid 2,Maison,8,0,https://www.avito.ma/fr/hay_moulay_rachid_2/maisons/Maison_%C3%A0_vendre_57466188.htm,il y a 1 jour
56863585,Tanger,18898 DH,370 m2,Bel Air - Val fleuri,Maison,10,0,https://www.avito.ma/fr/bel_air___val_fleuri/maisons/Maison_Av_Vaf_leuri_340_million_56863585.htm,il y a 1 jour
57465704,Marrakech,12784 DH,0 m2,M'Hamid,Maison,4,0,https://www.avito.ma/fr/m_hamid/maisons/Maison_%C3%A0_vendre_%C3%A0_Mhamid_El_Hossna_57465704.htm,il y a 1 jour
31760314,Marrakech,7225 DH,104 m2,Bab El Khemis,null,3,0,https://www.avito.ma/fr/bab_el_khemis/maisons/Duplex_104_m2_%C3%A0_karia_siyahia_31760314.htm,il y a 1 jour
32297476,Marrakech,4168 DH,80 m2,Autre secteur,Maison,6,0,https://www.avito.ma/fr/autre_secteur/maisons/Maison_80_m2_%C3%A0_Chouiter_Route_Ait_Ourir_32297476.htm,il y a 1 jour
49187444,Marrakech,7781 DH,130 m2,Daoudiate,Maison,5,0,https://www.avito.ma/fr/daoudiate/maisons/Maison_130_m2_%C3%A0_Daoudiate_49187444.htm,il y a 1 jour
57464848,Tanger,14451 DH,90 m2,Drissia,Maison,5,0,https://www.avito.ma/fr/drissia/maisons/Maison_libre_%C3%A0_vendre_57464848.htm,il y a 1 jour
57464062,Tanger,9727 DH,115 m2,Girari,Maison,11,0,https://www.avito.ma/fr/girari/maisons/maison_125_m2_titre_2face_mor_farabi_jirari_57464062.htm,il y a 1 jour
57464028,Tanger,3835 DH,48 m2,Ben Dibane,Maison,11,0,https://www.avito.ma/fr/ben_dibane/maisons/Maison_50_m2_3_%C3%A9tages_et_demi_Mabroka_Mslouha_57464028.htm,il y a 1 jour
57464025,Tanger,3057 DH,55 m2,Bir Chairi,Maison,10,0,https://www.avito.ma/fr/bir_chairi/maisons/Maison_3_%C3%A9tages_%C3%A0_Bir_Chaeiri_%C3%A0_Makada_57464025.htm,il y a 1 jour
57463837,Marrakech,2779 DH,96 m2,Iziki,Maison,2,0,https://www.avito.ma/fr/iziki/maisons/Maison_%C3%A0_vendre_en_bas_57463837.htm,il y a 1 jour
57463438,Casablanca,7559 DH,380 m2,Route d'El Jadida,Maison,5,0,https://www.avito.ma/fr/route_d_el_jadida/maisons/Maison_%C3%A0_vendre_57463438.htm,il y a 1 jour
57462441,Rabat,2779 DH,65 m2,Hassan,Maison,4,0,https://www.avito.ma/fr/hassan/maisons/Cl%C3%A9_de_maison_%C3%A0_vendre_%C3%A0_Hassan_%C3%A0_un_prix_raisonnable_57462441.htm,il y a 2 jours
57461613,Casablanca,4446 DH,60 m2,Sidi Bernoussi,Maison,7,0,https://www.avito.ma/fr/sidi_bernoussi/maisons/maison_avendre_57461613.htm,il y a 2 jours
57461480,Rabat,11116 DH,108 m2,Yacoub El Mansour,Maison,2,0,https://www.avito.ma/fr/yacoub_el_mansour/maisons/Belle_maison_%C3%A0_vendre_57461480.htm,il y a 2 jours
57461403,Casablanca,16674 DH,400 m2,Aïn Chock,Maison,9,0,https://www.avito.ma/fr/a%C3%AFn_chock/maisons/Belle_maison_Titer_%C3%A0_vendre_100m%C2%B2_%C3%A0_Hay_Moulay_Abdellah_57461403.htm,il y a 2 jours
55603133,Tanger,15007 DH,279 m2,Marchan,Maison,10,0,https://www.avito.ma/fr/marchan/maisons/Maison_%C3%A0_vendre_%C3%A0_Marchan_55603133.htm,il y a 2 jours
57461292,Marrakech,16119 DH,144 m2,M'Hamid,Maison,9,0,https://www.avito.ma/fr/m_hamid/maisons/Maison_%C3%A0_vendre_%C3%A0_Mhamid_Ma%C3%A2tallah___144_m%C2%B2_57461292.htm,il y a 2 jours
53799832,Tanger,27235 DH,592 m2,Aouama Gharbia,null,2,0,https://www.avito.ma/fr/aouama_gharbia/maisons/Immeuble_de_4_%C3%A9tages_%C3%A0_vendre_53799832.htm,il y a 2 jours
57461280,Marrakech,21121 DH,117 m2,Ancienne Médina,Villa,10,0,https://www.avito.ma/fr/ancienne_m%C3%A9dina/maisons/Maison_%C3%A0_vendre_%C3%A0_Riad_El_Arous___117_m%C2%B2_57461280.htm,il y a 2 jours
57439649,Marrakech,2779 DH,200 m2,Route d'Ourika,Maison,3,0,https://www.avito.ma/fr/route_d_ourika/maisons/Maison_%C3%A0_vendre_route_d_Ourika_pr%C3%A8s_d_Agreb_ac_57439649.htm,il y a 2 jours
57460415,Marrakech,25568 DH,400 m2,Route d'Ourika,Villa,3,1,https://www.avito.ma/fr/route_d_ourika/maisons/Villa_Marrakech_haut_standing_r%C3%A9sidence_Akenza_57460415.htm,il y a 2 jours
57460109,Casablanca,70 DH,null,Hay Laymouna,null,0,0,https://www.avito.ma/fr/hay_laymouna/maisons/Tbi_2019_km_57460109.htm,il y a 2 jours
57459981,Marrakech,4391 DH,244 m2,Route de Casablanca,Maison,3,0,https://www.avito.ma/fr/route_de_casablanca/maisons/Maison_de_campagne_semi_fine_route_de_casa_57459981.htm,il y a 2 jours
56348505,Tanger,7781 DH,200 m2,Autre secteur,Maison,8,0,https://www.avito.ma/fr/autre_secteur/maisons/Maison_Av_hay_mouadafine_140_million_56348505.htm,il y a 2 jours
57459161,Rabat,83374 DH,2000 m2,Souissi,Villa,9,0,https://www.avito.ma/fr/souissi/maisons/Villa_%C3%A0_Vendre_Souissi_57459161.htm,il y a 3 jours
57459111,Casablanca,5558 DH,75 m2,Al Fida,Maison,4,0,https://www.avito.ma/fr/al_fida/maisons/Maison_%C3%A0_ELFIDA_c%C3%B4t%C3%A9_du_Bd_Med_6_Casablanca_57459111.htm,il y a 3 jours
57458633,Tanger,5280 DH,165 m2,Autre secteur,Villa,4,0,https://www.avito.ma/fr/autre_secteur/maisons/Petite_villa_%C3%A0_vendre_100_m%C2%B2_%C3%A0_Tanger_57458633.htm,il y a 3 jours
